2024-03-08 23:01:56,644 INFO    StreamThr :11430 [internal.py:wandb_internal():86] W&B internal server running at pid: 11430, started at: 2024-03-08 23:01:56.642352
2024-03-08 23:01:56,645 DEBUG   HandlerThread:11430 [handler.py:handle_request():146] handle_request: status
2024-03-08 23:01:56,646 INFO    WriterThread:11430 [datastore.py:open_for_write():87] open: /Users/sunayana/Documents/GitHub/CV/assignment2/wandb/run-20240308_230145-htmo04q3/run-htmo04q3.wandb
2024-03-08 23:01:56,648 DEBUG   SenderThread:11430 [sender.py:send():382] send: header
2024-03-08 23:01:56,648 DEBUG   SenderThread:11430 [sender.py:send():382] send: run
2024-03-08 23:01:57,660 INFO    SenderThread:11430 [dir_watcher.py:__init__():211] watching files in: /Users/sunayana/Documents/GitHub/CV/assignment2/wandb/run-20240308_230145-htmo04q3/files
2024-03-08 23:01:57,660 INFO    SenderThread:11430 [sender.py:_start_run_threads():1136] run started: htmo04q3 with start time 1709919115.654635
2024-03-08 23:01:57,672 DEBUG   HandlerThread:11430 [handler.py:handle_request():146] handle_request: check_version
2024-03-08 23:01:57,672 DEBUG   SenderThread:11430 [sender.py:send_request():409] send_request: check_version
2024-03-08 23:01:58,339 DEBUG   HandlerThread:11430 [handler.py:handle_request():146] handle_request: run_start
2024-03-08 23:01:58,340 DEBUG   HandlerThread:11430 [system_info.py:__init__():27] System info init
2024-03-08 23:01:58,340 DEBUG   HandlerThread:11430 [system_info.py:__init__():42] System info init done
2024-03-08 23:01:58,340 INFO    HandlerThread:11430 [system_monitor.py:start():194] Starting system monitor
2024-03-08 23:01:58,340 INFO    SystemMonitor:11430 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-08 23:01:58,340 INFO    HandlerThread:11430 [system_monitor.py:probe():214] Collecting system info
2024-03-08 23:01:58,340 INFO    SystemMonitor:11430 [interfaces.py:start():190] Started cpu monitoring
2024-03-08 23:01:58,341 DEBUG   HandlerThread:11430 [system_info.py:probe():151] Probing system
2024-03-08 23:01:58,341 INFO    SystemMonitor:11430 [interfaces.py:start():190] Started disk monitoring
2024-03-08 23:01:58,342 INFO    SystemMonitor:11430 [interfaces.py:start():190] Started gpuapple monitoring
2024-03-08 23:01:58,346 INFO    SystemMonitor:11430 [interfaces.py:start():190] Started memory monitoring
2024-03-08 23:01:58,347 INFO    SystemMonitor:11430 [interfaces.py:start():190] Started network monitoring
2024-03-08 23:01:58,348 DEBUG   HandlerThread:11430 [system_info.py:_probe_git():136] Probing git
2024-03-08 23:01:58,376 DEBUG   HandlerThread:11430 [system_info.py:_probe_git():144] Probing git done
2024-03-08 23:01:58,376 DEBUG   HandlerThread:11430 [system_info.py:probe():199] Probing system done
2024-03-08 23:01:58,377 DEBUG   HandlerThread:11430 [system_monitor.py:probe():223] {'os': 'macOS-14.3.1-arm64-arm-64bit', 'python': '3.8.18', 'heartbeatAt': '2024-03-08T17:31:58.342392', 'startedAt': '2024-03-08T17:31:45.411823', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '<python with no main file>', 'codePathLocal': None, 'git': {'remote': 'https://github.com/sunayana-981/CV.git', 'commit': '9eb65c58d0ae8d6f786db01789bfafbd0a722de2'}, 'email': '141948186+sunayana-981@users.noreply.github.com', 'root': '/Users/sunayana/Documents/GitHub/CV', 'host': 'Sunayanas-MacBook-Pro.local', 'username': 'sunayana', 'executable': '/Users/sunayana/anaconda3/envs/newenvt/bin/python', 'cpu_count': 12, 'cpu_count_logical': 12, 'disk': {'/': {'total': 926.3517189025879, 'used': 284.69718170166016}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 16.0}}
2024-03-08 23:01:58,377 INFO    HandlerThread:11430 [system_monitor.py:probe():224] Finished collecting system info
2024-03-08 23:01:58,377 INFO    HandlerThread:11430 [system_monitor.py:probe():227] Publishing system info
2024-03-08 23:01:58,377 DEBUG   HandlerThread:11430 [system_info.py:_save_conda():208] Saving list of conda packages installed into the current environment
